WKT,of_Students,Owner_Name,Facility_Identifier,State_Name,Last_Editor,Facility_Area,Feature_Code,Full_Address,Name_of_Facility,Last_Update_Date,Capture_Method,Owner_Type,Municipality_Name,Location_Type,Description,Shape_X,Shape_Y
"POINT (-10680454.0429971 4321321.75002841)",,,,OK,CBALSIGER,,College / University,800 S Tucker Dr,University of Tulsa,2016/04/22 19:14:36,Placed on Map,,Tulsa,Building,,-10680454.043,4321321.75003
"POINT (-10685294.3052419 4323127.07558101)",,,,OK,Kate Borland,,College / University,700 N Greenwood Ave,Oklahoma State University - Tulsa,2010/06/10 00:00:00,Placed on Map,,Tulsa,Building,,-10685294.3052,4323127.07558
"POINT (-10681379.0104253 4307607.05531825)",,,,OK,CBALSIGER,,College / University,7777 S Lewis Ave,Oral Roberts University,2016/04/22 19:01:31,Placed on Map,,Tulsa,Building,,-10681379.0104,4307607.05532
"POINT (-10673198.3596396 4324949.64287196)",,,,OK,CBALSIGER,,College / University,8820 E Pine St,Spartan College of Aeronatics and Technology,2016/04/22 19:06:53,Placed on Map,,Tulsa,Building,,-10673198.3596,4324949.64287
"POINT (-10679770.4211898 4327160.95874936)",,,,OK,CBALSIGER,,College / University,3727 E Apache St,Tulsa Community College - Northeast Campus,2016/04/22 19:10:02,Placed on Map,,Tulsa,Building,,-10679770.4212,4327160.95875
"POINT (-10685111.1738603 4320973.7942285)",,,,OK,CBALSIGER,,College / University,909 S Boston Ave,Tulsa Community College - Metro Campus,2016/04/22 19:09:02,Placed on Map,,Tulsa,Building,,-10685111.1739,4320973.79423
"POINT (-10685212.9199979 4320920.31776467)",,,,OK,CBALSIGER,,College / University,909 S Boston Ave,Tulsa Community College - Metro Campus,2016/04/22 19:09:41,Placed on Map,,Tulsa,Building,,-10685212.92,4320920.31776
"POINT (-10671446.6059135 4306655.80854668)",,,,OK,CBALSIGER,,College / University,10300 E 81st St,Tulsa Community College - Southeast Campus,2016/04/22 19:10:17,Placed on Map,,Tulsa,Building,,-10671446.6059,4306655.80855
"POINT (-10678274.1445888 4314648.52509408)",,,,OK,CBALSIGER,,College / University,4502 E 41st St,University of Oklahoma - Tulsa,2016/04/22 19:14:14,Placed on Map,,Tulsa,Building,,-10678274.1446,4314648.52509
"POINT (-10672936.4194495 4316162.71971735)",,,,OK,CBALSIGER,,School,8906 E 34th St,Town and Country School,2016/04/22 19:08:13,Placed on Map,,Tulsa,Building,"Private School, 1st-12th",-10672936.4194,4316162.71972
"POINT (-10689759.3498056 4323057.22350127)",,,,OK,CBALSIGER,,School,3101 W Edison St,Central Junior and High School,2016/03/15 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10689759.3498,4323057.2235
"POINT (-10677983.9273962 4320923.73043643)",,,,OK,CBALSIGER,,School,1135 S Yale Ave,Street School,2016/04/22 19:07:23,Placed on Map,,Tulsa,Building,Public School,-10677983.9274,4320923.73044
"POINT (-10682331.8202591 4327294.2147598)",,,,OK,CBALSIGER,,School: Elementary,2703 N Yorktown Pl,Dual Language Academy,2016/04/22 18:46:18,Placed on Map,,Tulsa,Building,Public School,-10682331.8203,4327294.21476
"POINT (-10683791.2973661 4331698.69796063)",,,,OK,CBALSIGER,,School,4929 N Peoria Ave,McLain Junior and High School,2016/04/22 18:58:19,Placed on Map,,Tulsa,Building,Public School,-10683791.2974,4331698.69796
"POINT (-10681099.2400537 4329915.63831884)",,,,OK,CBALSIGER,,School: Middle School,2740 E 41st St N,Traice Academy,2016/04/22 19:08:38,Placed on Map,,Tulsa,Building,Public School,-10681099.2401,4329915.63832
"POINT (-10683720.3098483 4313377.51168354)",,,,OK,CBALSIGER,,School,1365 E 49th Pl,School of St. Mary,2016/04/22 19:05:42,Placed on Map,,Tulsa,Building,"Private School, K-8th",-10683720.3098,4313377.51168
"POINT (-10682213.3695535 4307809.49537274)",,,,OK,CBALSIGER,,School,7700 S Lewis Ave,Victory Christian,2016/04/22 19:15:49,Placed on Map,,Tulsa,Building,"Private School, K-12th",-10682213.3696,4307809.49537
"POINT (-10682638.7562069 4318172.13279597)",,,,OK,cbalsiger,,School,2520 S Yorktown Ave,Cascia Hall,2016/02/11 00:00:00,Placed on Map,,Tulsa,Building,"Private School, 6th-12th",-10682638.7562,4318172.1328
"POINT (-10682103.056557 4318721.84026599)",,,,OK,CBALSIGER,,School,2206 S Lewis Ave,Monte Cassino,2016/04/22 19:00:37,Placed on Map,,Tulsa,Building,"Private School, k3-8th",-10682103.0566,4318721.84027
"POINT (-10687255.7124762 4324555.52733903)",,,,OK,CBALSIGER,,School,1205 W Newton St,Project Accept TRAICE,2016/04/22 19:02:57,Placed on Map,,Tulsa,Building,Public School,-10687255.7125,4324555.52734
"POINT (-10676443.5400098 4315318.18069102)",,,,OK,CBALSIGER,,Education Facility,6111 E Skelly Dr,Tulsa Community College Conference Center,2016/04/22 19:10:30,Placed on Map,,Tulsa,Building,,-10676443.54,4315318.18069
"POINT (-10676876.1913262 4306841.83523301)",,,,OK,Kate Borland,,School,5666 E 81st St,Holland Hall,2010/06/10 00:00:00,Placed on Map,,Tulsa,Building,"Private School, Pre-12th",-10676876.1913,4306841.83523
"POINT (-10677184.8827282 4306812.53441703)",,,,OK,Kate Borland,,School,5666 E 81st St,Holland Hall,2010/06/10 00:00:00,Placed on Map,,Tulsa,Building,Private School,-10677184.8827,4306812.53442
"POINT (-10674813.9878738 4311868.64434599)",,,,OK,CBALSIGER,,School: Middle School,7502 E 57th St,Memorial Junior High,2016/04/22 18:59:00,Placed on Map,,Tulsa,Building,Public School,-10674813.9879,4311868.64435
"POINT (-10683598.5315925 4319904.38811555)",,,,OK,,,School,1519 S Quincy Ave,Marquette School,,Placed on Map,,Tulsa,Building,"Private School, Pre-8th",-10683598.5316,4319904.38812
"POINT (-10683120.7264249 4310289.98859792)",,,,OK,CBALSIGER,,School,6363 S Trenton Ave,Metro Christian Academy,2016/04/22 18:59:24,Placed on Map,,Tulsa,Building,"Private School, P3-12th",-10683120.7264,4310289.9886
"POINT (-10676348.7847423 4326083.71769987)",,,,OK,CBALSIGER,,School,6201 E Virgin St,Tulsa MET Junior and High School,2016/04/22 19:11:04,Placed on Map,,Tulsa,Building,Public School,-10676348.7847,4326083.7177
"POINT (-10680384.5978028 4312086.77030892)",,,,OK,CBALSIGER,,School: Elementary,3111 E 56th St,Eisenhower International,2016/04/22 18:48:15,Placed on Map,,Tulsa,Building,Public School,-10680384.5978,4312086.77031
"POINT (-10674624.1396066 4306061.2715742)",,,,OK,CBALSIGER,,School: Elementary,7625 E 87th St,Darnaby Elementary,2016/04/22 18:45:52,Placed on Map,,Tulsa,Building,Public School,-10674624.1396,4306061.27157
"POINT (-10680129.7100699 4312060.76065555)",,,,OK,CBALSIGER,,School: Elementary,3213 E 56th St,Grimes Elementary,2016/04/22 18:49:21,Placed on Map,,Tulsa,Building,Public School,-10680129.7101,4312060.76066
"POINT (-10679921.4369178 4305281.93396413)",,,,OK,Kate Borland,,School: Elementary,8925 S Harvard Ave,Jenks East Elementary,2010/06/10 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10679921.4369,4305281.93396
"POINT (-10672859.1207646 4307587.90995019)",,,,OK,Kate Borland,,School: Elementary,9015 E 79th St,Jarman Elementary,2010/06/10 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10672859.1208,4307587.90995
"POINT (-10676917.5669758 4315893.46867541)",,,,OK,Kate Borland,,School: Elementary,3613 S Hudson Ave,Zarrow International,2010/06/10 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10676917.567,4315893.46868
"POINT (-10689257.6796631 4313366.88233317)",,,,OK,CBALSIGER,,School: Elementary,2721 W 50th St,Robertson Elementary,2016/04/22 19:04:08,Placed on Map,,Tulsa,Building,Public School,-10689257.6797,4313366.88233
"POINT (-10666943.7778604 4313912.33814013)",,,,OK,CBALSIGER,,School: Elementary,13702 E 46th Pl S,Rosa Parks Elementary,2016/04/22 19:04:37,Placed on Map,,Tulsa,Building,Public School,-10666943.7779,4313912.33814
"POINT (-10674539.8648182 4311841.79722757)",,,,OK,CBALSIGER,,School: Elementary,7625 E 58th St,Salk Elementary,2016/04/22 19:05:23,Placed on Map,,Tulsa,Building,Public School,-10674539.8648,4311841.79723
"POINT (-10669376.2861625 4318107.64450977)",,,,OK,CBALSIGER,,School: Elementary,11702 E 25th St,Disney Elementary,2016/04/22 18:46:04,Placed on Map,,Tulsa,Building,Public School,-10669376.2862,4318107.64451
"POINT (-10672877.9732881 4317450.33755226)",,,,OK,CBALSIGER,,School: Elementary,2714 S 90th E Ave,Skelly (PreK-1st),2016/04/22 19:06:29,Placed on Map,,Tulsa,Building,Public School,-10672877.9733,4317450.33755
"POINT (-10672893.6283361 4317144.10587118)",,,,OK,CBALSIGER,,School: Elementary,2940 S 90th E Ave,Skelly (2nd-6th),2016/04/22 19:06:15,Placed on Map,,Tulsa,Building,Public School,-10672893.6283,4317144.10587
"POINT (-10682668.4629479 4327609.32473608)",,,,OK,Kate Borland,,School: Elementary,1921 E 29th St N,Anderson Elementary,2010/06/10 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10682668.4629,4327609.32474
"POINT (-10684114.5998148 4328593.90780382)",,,,OK,CBALSIGER,,School: Elementary,1105 E 33rd St N,Hawthorne Elementary,2016/04/22 18:50:46,Placed on Map,,Tulsa,Building,Public School,-10684114.5998,4328593.9078
"POINT (-10691106.2482107 4322308.58352987)",,,,OK,Kate Borland,,School: Elementary,4132 W Cameron St,Chouteau Elementary,2010/06/10 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10691106.2482,4322308.58353
"POINT (-10691055.718176 4321137.60252826)",,,,OK,CBALSIGER,,School: Elementary,541 S 43rd W Ave,Mark Twain Elementary,2016/04/22 18:56:37,Placed on Map,,Tulsa,Building,Public School,-10691055.7182,4321137.60253
"POINT (-10675165.8977538 4318594.82883572)",,,,OK,CBALSIGER,,School: Elementary,2182 S 73rd E Ave,MacArthur Elementary,2016/04/22 18:55:58,Placed on Map,,Tulsa,Building,Public School,-10675165.8978,4318594.82884
"POINT (-10667469.6257035 4316112.48167078)",,,,OK,Kate Borland,,School: Elementary,3433 S 133rd E Ave,Boevers Elementary,2010/06/10 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10667469.6257,4316112.48167
"POINT (-10668960.2585883 4316366.55494361)",,,,OK,Kate Borland,,School: Elementary,3303 S 121st E Ave,Briarglen Elementary,2010/06/10 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10668960.2586,4316366.55494
"POINT (-10686079.1169585 4332872.30712759)",,,,OK,CBALSIGER,,School: Elementary,5550 N Martin Luther King Jr Blvd,Gilcrease Elementary,2016/04/22 18:49:06,Placed on Map,,Tulsa,Building,Public School,-10686079.117,4332872.30713
"POINT (-10686046.704783 4332523.17404435)",,,,OK,CBALSIGER,,School: Elementary,5402 N Martin Luther King Jr Blvd,ECDC Bunche,2016/04/22 18:47:21,Placed on Map,,Tulsa,Building,Public School,-10686046.7048,4332523.17404
"POINT (-10688085.9873261 4325553.40333851)",,,,OK,cbalsiger,,School: Elementary,1789 W Seminole St,Academy Central Elementary,2016/02/04 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10688085.9873,4325553.40334
"POINT (-10686126.9749432 4325895.28406283)",,,,OK,cbalsiger,,School: Elementary,1924 N Martin Luther King Jr Blvd,Burroughs Elementary,2016/02/04 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10686126.9749,4325895.28406
"POINT (-10681184.6397105 4320825.15522994)",,,,OK,CBALSIGER,,School: Elementary,1127 S Columbia Ave,Mayo Demonstration School,2016/04/22 18:57:03,Placed on Map,,Tulsa,Building,Public School,-10681184.6397,4320825.15523
"POINT (-10687269.5638235 4322461.71935732)",,,,OK,CBALSIGER,,School,1202 W Easton St,Tulsa School of Arts and Sciences,2016/04/22 19:03:12,Placed on Map,,Tulsa,Building,Public School,-10687269.5638,4322461.71936
"POINT (-10686046.704783 4332523.17404435)",,,,OK,CBALSIGER,,School: Elementary,909 N Boston Ave,Emerson (Bunche Campus),2016/04/22 18:48:36,Placed on Map,,Tulsa,Building,Public School,-10686046.7048,4332523.17404
"POINT (-10682635.5783553 4310853.60661539)",,,,OK,CBALSIGER,,School: Elementary,1770 E 61st St,McClure Elementary,2016/04/22 18:57:33,Placed on Map,,Tulsa,Building,Public School,-10682635.5784,4310853.60662
"POINT (-10684106.1696983 4311869.66263631)",,,,OK,CBALSIGER,,School: Elementary,1142 E 56th St,Marshall Elementary,2016/04/22 18:56:49,Placed on Map,,Tulsa,Building,Public School,-10684106.1697,4311869.66264
"POINT (-10679458.6682863 4314863.58463626)",,,,OK,CBALSIGER,,School: Elementary,3820 E 41st St,Patrick Henry Elementary,2016/04/22 19:02:13,Placed on Map,,Tulsa,Building,Public School,-10679458.6683,4314863.58464
"POINT (-10684243.3928703 4314062.28353031)",,,,OK,CBALSIGER,,School: Elementary,1110 E 45th Pl,Wright Elementary,2016/04/22 19:16:51,Placed on Map,,Tulsa,Building,Public School,-10684243.3929,4314062.28353
"POINT (-10683566.452708 4315920.85049702)",,,,OK,CBALSIGER,,School: Elementary,1442 E 36th St,Eliot Elementary,2016/04/22 18:48:26,Placed on Map,,Tulsa,Building,Public School,-10683566.4527,4315920.8505
"POINT (-10682348.8303317 4331440.0094735)",,,,OK,CBALSIGER,,School: Elementary,2138 E 48th St N,Penn Elementary,2016/04/22 19:02:44,Placed on Map,,Tulsa,Building,Public School,-10682348.8303,4331440.00947
"POINT (-10684644.2587265 4329638.84618823)",,,,OK,CBALSIGER,,School: Elementary,3924 N Lansing Ave,Whitman Elementary,2016/04/22 19:16:23,Placed on Map,,Tulsa,Building,Public School,-10684644.2587,4329638.84619
"POINT (-10674940.5662784 4323409.30557135)",,,,OK,CBALSIGER,,School: Elementary,733 N 73rd E Ave,Mitchell Elementary,2016/04/22 18:59:41,Placed on Map,,Tulsa,Building,Public School,-10674940.5663,4323409.30557
"POINT (-10675702.3423046 4323900.3460655)",,,,OK,CBALSIGER,,School: Elementary,6703 E King St,McKinley Elementary,2016/04/22 18:57:43,Placed on Map,,Tulsa,Building,Public School,-10675702.3423,4323900.34607
"POINT (-10676289.2506723 4322558.19888901)",,,,OK,cbalsiger,,School: Elementary,6304 E Admiral Blvd,Bell Elementary,2016/01/29 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10676289.2507,4322558.19889
"POINT (-10678189.0640942 4302725.92050369)",,,,OK,CBALSIGER,,School: Elementary,10222 S Yale Ave,Jenks Southeast Elementary,2016/04/22 18:52:30,Placed on Map,,Tulsa,Building,Public School,-10678189.0641,4302725.9205
"POINT (-10681713.4677465 4324935.01974874)",,,,OK,CBALSIGER,,School: Elementary,2510 E Pine St,Springdale Elementary,2016/04/22 19:07:06,Placed on Map,,Tulsa,Building,Public School,-10681713.4677,4324935.01975
